"mesh_term_lower","n_pmids","prop_total"
accidental falls,29695,0.00077227895397201830
accidental injuries,311,0.000008088188404960353313
accident prevention,9287,0.00024152734957191897
accident proneness,357,0.000009284512091867672452
accidents,20439,0.00053155782253692817
"accidents, aviation",2803,0.000072897723791330772785
"accidents, home",4654,0.00012103674867101442
"accidents, occupational",18133,0.00047158559597153083
"accidents, traffic",50255,0.00130698362794624616
acclimatization,20307,0.00052812489369623760
"accommodation, ocular",6907,0.00017963060229280116
accountable care organizations,1828,0.000047540863036229986675
accounting,4014,0.00010439224520099954
accounts payable and receivable,1630,0.000042391469775194134727
accreditation,15510,0.00040336913878114174
acculturation,7236,0.00018818691735785568
acebutolol,862,0.000022418065611176284745
acecainide,259,0.000006735822498021644720
acedapsone,35,0.000000910246283516438476
acellular dermis,1588,0.000041299174234974408556
acenaphthenes,324,0.000008426279881695030461
acenocoumarol,1376,0.000035785682460531981217
acepromazine,738,0.000019193193063860902717
acer,1028,0.000026735233698711392944
aceraceae,13,0.000000338091476734677148
acetabularia,327,0.000008504300991710725187
acetabuloplasty,127,0.000003302893657331076755
acetabulum,13992,0.00036389045711320020
acetaldehyde,6408,0.00016665309099352394
acetaldehyde dehydrogenase inhibitors,65,0.000001690457383673385741
acetals,1341,0.000034875436177015542741
acetamides,11672,0.00030355413203439628
acetaminophen,21727,0.00056505488577033311
acetanilides,3604,0.000093729360165521264758
acetate-coa ligase,612,0.000015916306443201724204
acetate kinase,265,0.000006891864718053034173
acetates,42751,0.00111182682476032175
acetazolamide,7175,0.00018660048812086989
acetic acid,11762,0.00030589476533486712
acetic anhydrides,502,0.000013055532409292917566
acetoacetates,2678,0.000069646844207343492514
acetobacter,1101,0.000028633747375759964622
acetobacteraceae,496,0.000012899490189261528113
acetobacterium,133,0.000003458935877362466208
acetogenins,312,0.000008114195441632251555
acetohexamide,241,0.000006267695837927476361
acetoin,614,0.000015968320516545520688
acetoin dehydrogenase,50,0.000001300351833594912108
acetolactate synthase,918,0.000023874459664802586306
acetone,8469,0.00022025359357430621
acetonitriles,5327,0.00013853948435120194
acetophenones,4709,0.00012246713568796882
acetoxyacetylaminofluorene,335,0.000008712357285085911125
acetrizoic acid,172,0.000004473210307566497652
acetylation,25625,0.00066643031471739246
acetylcarnitine,1374,0.000035733668387188184733
acetylcholine,50949,0.00132503251139654354
acetylcholine release inhibitors,542,0.000014095813876168847253
acetylcholinesterase,26653,0.00069316554841610385
acetyl-coa c-acetyltransferase,819,0.000021299763034284660332
acetyl-coa c-acyltransferase,628,0.000016332419029952096079
acetyl-coa carboxylase,3442,0.000089516220224673749527
acetyl-coa hydrolase,72,0.000001872506640376673436
acetyl coenzyme a,3736,0.000097162289006211832723
acetylcysteine,15064,0.00039177000042547512
acetyldigitoxins,119,0.000003094837363955890817
acetyldigoxins,91,0.000002366640337142740037
acetylene,2345,0.000060986500995601377874
acetylesterase,640,0.000016644503470014874985
acetylgalactosamine,1807,0.000046994715266120123590
acetylglucosamine,5913,0.00015377960784093431
acetylglucosaminidase,5411,0.00014072407543164139
acetylmuramyl-alanyl-isoglutamine,2129,0.000055368981074471357566
acetylserotonin o-methyltransferase,504,0.000013107546482636714050
acetylthiocholine,331,0.000008608329138398318156
acetyltransferases,9677,0.00025167009387395929
achaete-scute complex genome region,12,0.000000312084440062778906
achievement,16350,0.00042521504958553626
achillea,414,0.000010766913182165872256
achilles tendon,10144,0.00026381537999973577
achlorhydria,1402,0.000036461865414001335513
achlya,25,0.000000650175916797456054
acholeplasma,228,0.000005929604361192799213
acholeplasma laidlawii,820,0.000021325770070956558574
acholeplasmataceae,38,0.000000988267393532133202
achondroplasia,2318,0.000060284311005460125335
achromobacter,469,0.000012197300199120275575
achromobacter cycloclastes,20,0.000000520140733437964843
achromobacter denitrificans,329,0.000008556315065054521672
achyranthes,280,0.000007281970268131507806
achyrocline,73,0.000001898513677048571678
acidaminococcus,60,0.000001560422200313894530
acid anhydride hydrolases,2589,0.000067332217943544548962
acid-base equilibrium,16414,0.00042687949993253775
acid-base imbalance,2617,0.000068060414970357699742
acid ceramidase,288,0.000007490026561506693743
"acid etching, dental",7387,0.00019211397989531231
acidianus,85,0.000002210598117111350584
acidic glycosphingolipids,35,0.000000910246283516438476
acidiphilium,54,0.000001404379980282505077
acidithiobacillus,790,0.000020545558970799611309
acidithiobacillus thiooxidans,241,0.000006267695837927476361
acidobacteria,356,0.000009258505055195774210
acidosis,18167,0.00047246983521837537
"acidosis, lactic",3647,0.000094847662742412889171
"acidosis, renal tubular",2987,0.000077683018538960049343
"acidosis, respiratory",2600,0.000067618295346935429625
acid phosphatase,24149,0.00062804392858967065
acid rain,830,0.000021585840437675540996
acids,15227,0.00039600914740299453
"acids, acyclic",216,0.000005617519921130020307
"acids, aldehydic",2,0.000000052014073343796484
"acids, carbocyclic",412,0.000010714899108822075771
acid sensing ion channel blockers,138,0.000003588971060721957419
acid sensing ion channels,1379,0.000035863703570547675944
"acids, heterocyclic",68,0.000001768478493689080467
"acids, noncarboxylic",89,0.000002314626263798943553
acidulated phosphate fluoride,520,0.000013523659069387085925
acinar cells,1452,0.000037762217247596247622
acinetobacter,4825,0.00012548395194190902
acinetobacter baumannii,8149,0.00021193134183929878
acinetobacter calcoaceticus,565,0.000014693975719622506822
acinetobacter infections,5862,0.00015245324897066750
acinonyx,457,0.000011885215759057496669
acitretin,1344,0.000034953457287031237468
aclarubicin,841,0.000021871917841066421660
acne conglobata,27,0.000000702189990141252538
acneiform eruptions,358,0.000009310519128539570695
acne keloid,186,0.000004837308820973073042
acne vulgaris,14223,0.00036989808258440870
aconitate hydratase,1482,0.000038542428347753194886
aconitic acid,216,0.000005617519921130020307
aconitine,1693,0.000044029913085523723983
aconitum,1541,0.000040076843511395191174
acoraceae,3,0.000000078021110015694726
acorus,334,0.000008686350248414012883
acoustic impedance tests,3829,0.000099580943416698369244
acoustic maculae,243,0.000006319709911271272846
acoustics,17522,0.00045569529656500100
acoustic stimulation,48473,0.00126063908859692349
acquired hyperostosis syndrome,635,0.000016514468286655383774
acquired immunodeficiency syndrome,79504,0.00206766344356259784
acremonium,1291,0.000033575084343420630633
acridine orange,2327,0.000060518374335507209515
acridines,7076,0.00018402579149035196
acridones,280,0.000007281970268131507806
acriflavine,548,0.000014251856096200236706
acrocallosal syndrome,84,0.000002184591080439452342
acrocephalosyndactylia,1743,0.000045330264919118636091
acrodermatitis,2344,0.000060960493958929479631
acrodynia,412,0.000010714899108822075771
acrolein,3703,0.000096304056796039190732
acromegaly,9507,0.00024724889763973659
acromioclavicular joint,2465,0.000064107345396229166933
acromion,1335,0.000034719393956984153288
acronine,86,0.000002236605153783248826
acro-osteolysis,198,0.000005149393261035851948
acrosin,780,0.000020285488604080628888
acrosome,4431,0.00011523717949318111
acrosome reaction,1857,0.000048295067099715035698
acrospiroma,579,0.000015058074233029082213
acrylamide,3775,0.000098176563436415864168
acrylamides,7698,0.00020020216830027267
acrylates,8910,0.00023172269674661334
acrylic resins,24633,0.00064063133433886940
acrylonitrile,1402,0.000036461865414001335513
actaea,52,0.000001352365906938708593
acth-secreting pituitary adenoma,647,0.000016826552726718162680
"acth syndrome, ectopic",1046,0.000027203360358805561303
actigraphy,5212,0.00013554867513393364
actihaemyl,297,0.000007724089891553777923
actin capping proteins,197,0.000005123386224363953706
actin cytoskeleton,14589,0.00037941665800632345
actin depolymerizing factors,1716,0.000044628074928977383553
acting out,1067,0.000027749508128915424389
actinidia,1319,0.000034303281370233781414
actinidiaceae,20,0.000000520140733437964843
actinin,2736,0.000071155252334313590560
actinium,317,0.000008244230624991742766
actinobacillosis,85,0.000002210598117111350584
actinobacillus,1137,0.000029570000695948301340
actinobacillus equuli,21,0.000000546147770109863085
actinobacillus infections,1365,0.000035499605057141100553
actinobacillus pleuropneumoniae,1111,0.000028893817742478947044
actinobacillus seminis,15,0.000000390105550078473632
actinobacillus suis,28,0.000000728197026813150781
actinobacteria,5938,0.00015442978375773176
actinoid series elements,354,0.000009206490981851977726
actinomadura,39,0.000001014274430204031444
actinomyces,5213,0.00013557468217060554
actinomyces viscosus,254,0.000006605787314662153510
actinomycetaceae,781,0.000020311495640752527130
actinomycetales,5959,0.00015497593152784163
actinomycetales infections,2245,0.000058385797328411553657
actinomycosis,4955,0.00012886486670925579
"actinomycosis, cervicofacial",558,0.000014511926462919219127
actinoplanes,45,0.000001170316650235420897
actin-related protein 2,517,0.000013445637959371391199
actin-related protein 2-3 complex,1106,0.000028763782559119455833
actin-related protein 3,492,0.000012795462042573935144
actins,62076,0.00161441280844475528
action potentials,93270,0.00242567631038794905
action spectrum,14,0.000000364098513406575390
activated-leukocyte cell adhesion molecule,351,0.000009128469871836282999
activated protein c resistance,1025,0.000026657212588695698218
activating transcription factor 1,445,0.000011573131318994717763
activating transcription factor 2,1085,0.000028217634789009592747
activating transcription factor 3,1189,0.000030922366602887009933
activating transcription factor 4,1836,0.000047748919329605172612
activating transcription factor 6,1090,0.000028347669972369083958
activating transcription factors,490,0.000012743447969230138660
activation analysis,1200,0.000031208444006277890596
"activation, metabolic",527,0.000013705708326090373620
activator appliances,1501,0.000039036562044519261488
"active transport, cell nucleus",12243,0.00031840414997405018
activin receptors,646,0.000016800545690046264438
"activin receptors, type i",1576,0.000040987089794911629650
"activin receptors, type ii",1321,0.000034355295443577577898
activins,4047,0.00010525047741117219
activities of daily living,76354,0.00198574127804611838
activity cycles,1569,0.000040805040538208341955
actomyosin,4174,0.00010855337106850326
actuarial analysis,6725,0.00017489732161851568
acupressure,1083,0.000028165620715665796263
acupuncture,2105,0.000054744812194345799754
acupuncture analgesia,1284,0.000033393035086717342938
"acupuncture, ear",536,0.000013939771656137457800
acupuncture points,8628,0.00022438871240513803
acupuncture therapy,21187,0.00055101108596750806
